Size_m2,Bedrooms,Bathrooms,Location,YearBuilt,Price
171.5,7,1,City,2004,371
252.7,9,1,City,1996,531
193.61,3,3,City,2023,198
223.8,9,3,Suburb,1995,306
260.78,1,1,Suburb,2009,30
225.2,8,3,Suburb,2012,312
196.03,4,4,Suburb,2016,124
217.58,5,2,City,1978,270
218.97,13,1,Suburb,1985,598
200.39,2,5,City,2002,132
207.73,2,2,Suburb,2017,84
330.08,5,5,Suburb,2018,160
261.71,11,2,City,2005,770
205.32,6,2,City,1999,390
270.72,6,1,Suburb,1972,228
202.81,1,3,City,1968,67
302.03,6,4,Suburb,2012,204
249.17,11,1,City,1963,649
217.76,7,5,Suburb,1973,287
254.28,7,4,Suburb,1967,245
121.33,4,3,Suburb,2021,188
150.6,6,3,Suburb,2004,276
146.14,12,5,City,2021,684
234.21,10,3,City,1995,540
338.91,7,3,Suburb,1960,231
371.7,13,4,Suburb,2019,429
266.82,2,3,Suburb,1972,74
257.81,8,5,City,1971,416
106.19,7,1,Suburb,1976,280
189.06,10,5,City,2006,670
172.89,4,3,City,2012,220
183.95,9,1,Suburb,1969,297
213.68,4,2,City,2005,232
193.7,12,3,Suburb,1963,540
94.48,6,4,Suburb,2016,288
274.06,11,5,City,1997,726
154.13,10,4,City,1971,640
240.53,3,4,Suburb,1990,144
361.39,6,5,City,1961,420
164.25,4,2,City,1960,272
58.16,7,2,City,1984,490
205.97,9,4,Suburb,1964,270
297.29,4,1,Suburb,2007,188
353.77,8,3,City,1973,528
143.81,3,4,Suburb,2011,144
257.53,12,5,Suburb,1980,384
194.17,3,1,City,1984,210
217.86,5,5,City,2009,340
398.93,13,3,City,1992,806
125.79,8,5,Suburb,1976,400
241.45,7,5,Suburb,1993,322
255.58,3,3,City,1985,159
296.27,7,1,Suburb,2001,252
231.24,7,5,Suburb,1990,224
245.08,14,4,Suburb,2010,630
199,10,2,City,1995,610
242.48,9,5,Suburb,1972,324
202.16,12,1,Suburb,1972,468
265.7,6,3,City,1991,384
200.48,3,2,Suburb,1964,138
249.63,9,3,Suburb,1971,315
222.87,8,2,City,2018,496
298.96,10,2,Suburb,2000,470
221.39,2,4,City,1996,112
108.05,10,4,Suburb,2007,390
307.88,9,1,Suburb,2002,279
165.18,14,2,City,2000,770
181.72,4,1,City,2015,228
185.53,8,1,City,1970,496
315.31,4,2,Suburb,1968,188
84.17,9,1,Suburb,1987,450
431.44,1,2,City,1981,51
294.32,12,3,City,1965,612
239.5,8,5,City,1985,544
221.2,3,2,Suburb,1975,144
243.59,10,4,Suburb,1973,430
259.11,4,3,City,1994,216
267.28,4,3,Suburb,2001,192
261.34,12,4,Suburb,2012,588
230.68,8,2,Suburb,1981,360
211.82,12,1,City,2012,672
214.79,12,4,Suburb,1972,504
211.91,6,2,City,1970,306
299.43,7,5,City,1971,371
263.84,13,2,City,2012,858
46.45,2,5,City,1968,100
267.93,1,1,City,1976,68
237.65,9,5,City,2020,540
223.52,14,3,Suburb,1969,448
199.18,14,1,City,1997,700
298.78,8,5,Suburb,1998,344
287.16,8,3,Suburb,1989,336
173.91,7,5,Suburb,1993,322
251.58,4,3,Suburb,1992,140
160.82,8,4,City,1991,472
133.97,7,5,Suburb,1971,259
183.48,8,2,City,2024,504
281.59,1,3,City,1969,66
287.53,4,5,Suburb,1978,144
258.55,7,2,City,1982,455
272.58,8,4,Suburb,2016,376
258.73,2,2,City,2018,126
182.55,2,1,City,2013,106
253.25,13,4,City,1961,793
277.5,12,3,Suburb,2007,456
274.44,7,4,Suburb,1965,315
303.05,8,3,City,2002,480
271.46,2,4,City,1976,118
247.96,11,5,Suburb,1995,473
295.25,5,5,City,1983,290
223.06,14,4,Suburb,2020,546
166.76,1,5,Suburb,1988,35
214.05,6,2,Suburb,2017,204
175.77,3,4,Suburb,2012,114
180.32,7,1,City,1968,364
215.26,2,2,Suburb,2001,70
172.61,3,3,Suburb,1998,138
204.48,12,5,Suburb,1999,360
100.06,3,3,Suburb,2018,150
238.85,10,2,City,2003,660
224.83,8,5,Suburb,2024,384
170.94,10,2,City,1970,570
268.21,4,4,Suburb,1964,180
286.51,5,4,Suburb,2008,245
118.92,8,5,City,2010,488
174.56,7,4,Suburb,1995,231
174.1,7,2,City,1975,378
162.86,8,4,Suburb,1966,328
279.45,1,1,City,2003,57
212,11,5,City,1985,583
207.36,10,1,City,1995,540
92.81,3,4,City,2012,180
266.63,10,3,City,2003,520
143.16,6,3,Suburb,1971,204
228.73,5,1,City,1982,315
243.03,3,2,City,1989,159
314.38,13,3,Suburb,2022,468
138.61,14,4,City,1962,756
46.45,14,2,Suburb,1993,560
236.9,6,4,Suburb,2008,246
343.37,12,5,City,2003,672
306.39,3,1,City,2000,162
238.57,6,5,City,2007,336
192.4,12,4,City,1967,612
277.97,2,1,City,1966,132
160.72,11,5,City,1996,561
256.13,12,2,Suburb,2014,528
258.08,13,4,Suburb,2009,624
294.6,9,4,Suburb,1980,414
406.54,5,4,Suburb,1993,155
250.65,7,5,City,2008,392
191.29,4,2,City,1986,208
223.06,5,2,Suburb,1967,180
108.32,10,2,City,1993,620
179.02,8,1,City,1977,400
197.88,8,5,Suburb,2010,360
190.27,9,1,Suburb,1971,351
234.86,10,5,Suburb,2010,320
170.66,1,3,Suburb,2022,37
298.59,3,2,City,1999,192
224.83,4,2,Suburb,1981,184
224.17,6,2,City,1967,324
203.18,12,2,Suburb,1987,468
235.04,5,1,Suburb,2009,240
279.08,5,2,Suburb,2006,165
167.69,2,4,City,2015,132
181.44,4,2,City,1991,280
204.76,7,3,City,1970,427
136.2,13,5,City,1980,832
170.85,6,4,Suburb,1985,264
193.42,4,3,Suburb,1973,156
282.33,13,1,Suburb,1973,429
242.11,1,3,Suburb,1962,46
237.55,7,2,City,2016,371
280.85,2,1,Suburb,1966,96
215.72,9,3,Suburb,1998,441
250.47,3,4,Suburb,2016,108
217.95,3,4,City,2024,150
242.29,9,5,City,1984,549
186.46,2,4,City,1990,100
64.2,1,1,Suburb,1969,44
215.91,13,5,City,1968,715
318.47,14,4,City,1967,854
285.77,1,2,Suburb,1978,48
288.37,8,1,City,1989,472
306.21,2,5,Suburb,1968,86
230.59,13,2,Suburb,2006,416
237.74,2,3,City,2005,132
184.13,10,4,Suburb,1960,380
204.01,14,5,Suburb,1962,672
265.33,10,3,Suburb,1993,500
304.07,1,2,Suburb,1984,40
215.63,11,5,City,1989,737
195.19,8,4,Suburb,1960,344
224.83,7,5,City,1977,385
264.4,14,2,Suburb,1992,448
129.69,7,2,Suburb,1968,336
73.58,13,4,Suburb,1966,416
188.5,8,4,Suburb,1989,320
144.37,11,1,Suburb,1972,363
191.29,14,2,Suburb,1972,532
215.07,12,2,Suburb,2001,444
194.91,7,2,City,2022,378
320.42,14,3,City,1995,756
246.29,8,1,City,1994,552
244.61,10,3,Suburb,2005,420
265.8,5,4,City,2004,310
149.76,10,1,Suburb,2015,300
293.2,2,2,City,1964,112
219.81,3,5,City,2003,201
268.95,9,2,Suburb,1987,324
154.22,14,4,Suburb,2001,686
122.45,5,5,Suburb,1990,185
278.62,1,2,Suburb,1966,33
249.54,3,4,Suburb,1966,135
165.37,4,4,City,1963,272
167.5,1,2,Suburb,1991,38
298.87,8,2,Suburb,1987,344
146.51,2,1,Suburb,2015,90
332.96,4,5,City,1963,244
165.46,4,2,Suburb,1967,132
266.82,10,2,City,1973,620
203.18,12,5,City,1989,708
264.49,4,3,City,1962,212
188.96,7,2,City,1961,420
214.05,3,4,Suburb,1969,117
227.52,14,5,Suburb,1975,518
158.77,4,5,Suburb,1981,196
273.6,10,4,Suburb,1994,450
191.01,2,2,City,2008,102
209.77,6,3,City,1961,318
159.33,9,3,Suburb,1978,297
56.02,14,5,Suburb,1963,630
212.19,7,1,Suburb,2000,315
383.69,3,5,City,2015,189
276.48,2,4,City,2014,134
223.52,5,4,City,1990,305
207.45,6,4,Suburb,1981,240
226.31,13,3,City,2007,871
260.78,13,1,City,1963,702
147.07,2,1,City,1980,128
298.13,11,1,Suburb,2000,539
271.93,9,3,City,2004,540
272.11,6,4,Suburb,1967,282
253.63,8,3,Suburb,1968,240
226.13,2,4,Suburb,1977,62
269.14,9,3,City,1990,504
263.75,13,2,Suburb,1994,650
201.51,7,5,City,1989,364
187.01,11,5,City,1977,770
231.51,3,2,Suburb,2000,117
326.83,5,1,Suburb,1983,205
143.16,7,4,Suburb,2007,210
128.11,5,3,City,1973,285
235.6,6,1,Suburb,1978,186
228.17,10,2,City,2019,530
236.16,8,4,Suburb,1981,400
240.9,14,2,City,1989,854
210.05,1,5,Suburb,1974,30
322.93,13,3,Suburb,1980,468
119.38,1,3,City,1985,56
170.2,8,1,Suburb,1971,400
217.95,8,3,Suburb,1966,240
116.59,7,3,Suburb,1994,350
213.21,13,5,Suburb,1961,585
334.17,14,4,City,1979,868
226.13,8,5,City,2006,464
239.97,9,4,City,1971,486
141.77,4,4,City,2012,228
184.23,8,4,City,1976,536
200.11,12,1,Suburb,1977,600
203.83,11,4,City,1983,693
309.18,6,2,Suburb,1996,270
261.52,4,3,City,1989,252
151.62,7,2,Suburb,2011,294
240.99,7,4,City,1982,469
257.62,14,4,Suburb,1996,462
299.89,3,4,City,1983,198
328.88,8,4,Suburb,2009,264
157.94,1,2,Suburb,1979,40
171.41,1,2,Suburb,2006,47
141.96,12,5,Suburb,1977,396
209.4,7,5,Suburb,1985,343
255.48,11,5,City,2002,561
289.76,1,1,Suburb,2006,44
219.81,10,1,Suburb,2002,310
203.74,8,5,Suburb,1991,400
234.77,8,2,City,1966,464
169.83,1,2,Suburb,1991,35
362.41,12,1,Suburb,2024,504
118.92,1,4,City,2017,51
237,12,5,City,2012,600
358.05,5,2,Suburb,1993,240
225.2,5,3,Suburb,2015,150
212.28,13,3,City,1991,780
201.23,1,5,Suburb,2009,37
212.93,1,3,Suburb,1983,43
315.22,13,4,Suburb,2005,520
79.15,6,3,City,1962,378
325.72,13,3,Suburb,1969,650
130.99,9,5,Suburb,1965,396
207.27,13,1,City,2011,858
196.49,9,3,City,2009,513
263.57,8,2,City,2017,488
119.57,2,4,Suburb,2011,96
255.2,4,5,Suburb,1972,188
358.05,2,1,City,2018,102
134.99,9,3,Suburb,1998,333
237.27,10,3,City,2012,550
181.16,2,3,Suburb,2017,94
252.79,5,5,Suburb,1979,215
226.03,13,2,Suburb,2022,429
182.55,6,3,Suburb,1969,222
256.88,9,3,Suburb,1985,378
343.65,9,3,Suburb,1978,333
212.19,2,4,City,2020,138
272.21,6,4,Suburb,1993,252
139.63,11,3,City,2003,693
161.84,14,4,Suburb,1977,616
255.85,14,1,City,1975,770
322.56,14,5,City,1985,910
248.24,4,3,Suburb,2024,168
204.2,6,3,Suburb,1986,264
224.73,12,4,Suburb,1963,600
142.42,1,1,City,2010,68
264.59,3,3,Suburb,1962,138
282.89,7,1,Suburb,1975,336
195,10,1,Suburb,1987,460
193.8,6,2,Suburb,2003,222
242.29,13,1,City,1977,858
196.03,9,2,Suburb,1961,297
220.46,10,1,City,2003,700
363.06,13,1,City,1979,767
208.57,4,5,Suburb,2015,180
201.23,8,4,Suburb,1982,352
182.18,3,4,City,2019,156
273.79,13,3,Suburb,2004,637
212.84,14,2,City,2006,896
182,1,5,City,1996,56
311.78,13,4,Suburb,1967,468
318.29,1,4,Suburb,1964,50
185.25,4,1,Suburb,1982,128
101.91,10,4,City,1969,570
291.16,13,5,City,1986,728
179.67,14,5,Suburb,1960,686
276.85,13,5,Suburb,1967,637
95.04,4,1,City,1970,272
283.54,14,3,City,1987,868
145.02,13,5,Suburb,1993,481
272.95,1,2,City,2002,69
225.75,13,1,Suburb,1987,416
161.93,3,1,City,2008,186
197.98,1,4,Suburb,2020,45
269.98,2,2,Suburb,1996,76
231.79,2,4,City,1962,122
263.29,9,5,City,1968,459
354.89,7,5,Suburb,1961,329
121.8,8,4,Suburb,1982,384
331.29,1,1,Suburb,2010,33
231.7,10,1,Suburb,1976,330
165.65,3,5,City,1984,171
137.22,7,5,Suburb,1986,252
212.38,14,5,City,1979,868
285.49,5,4,City,1995,260
216.37,3,1,Suburb,1987,99
324.32,1,2,City,1988,55
129.23,9,2,City,2001,585
223.99,10,3,Suburb,2017,390
142.33,3,2,Suburb,1991,90
248.7,6,3,Suburb,1971,252
283.17,1,1,Suburb,1989,33
197.05,2,5,Suburb,2019,88
53.33,12,1,City,1970,828
237.92,12,5,Suburb,1970,432
253.53,7,3,Suburb,2009,217
251.4,1,3,City,1960,67
306.21,1,1,Suburb,1986,36
154.22,3,3,Suburb,1991,111
269.6,8,3,Suburb,1965,312
303.33,4,3,City,2000,236
107.67,2,3,Suburb,1995,60
245.82,1,2,Suburb,1998,37
191.57,2,1,Suburb,1989,88
219.44,4,2,Suburb,2016,196
247.68,14,3,Suburb,1970,700
192.68,6,1,City,1962,336
180.32,11,2,Suburb,2007,429
227.05,13,1,Suburb,1965,468
153.2,1,2,Suburb,1966,37
153.29,14,4,Suburb,2003,518
269.51,5,3,Suburb,2020,155
149.11,6,4,City,2013,408
268.68,5,4,City,2010,310
255.2,3,3,Suburb,2007,114
111.11,2,5,Suburb,2020,68
180.14,6,2,City,1999,396
303.42,2,4,City,1962,114
160.16,1,5,City,1989,65
194.17,5,4,Suburb,1983,160
255.2,2,2,City,1961,114
276.39,14,4,Suburb,2003,532
208.2,5,3,Suburb,1999,155
185.43,4,3,City,1978,252
318.47,6,5,Suburb,2022,294
339.28,12,3,Suburb,1983,456
289.21,12,3,City,2009,732
230.4,1,1,Suburb,1979,42
171.59,6,2,City,2016,390
170.11,3,5,City,2009,189
259.2,2,1,City,2017,138
252.32,3,3,Suburb,1990,129
317.08,14,5,City,1996,882
267.65,8,3,City,1963,440
125.79,4,2,Suburb,2017,168
294.04,14,3,City,1969,896
159.05,5,4,Suburb,2022,150
199.46,11,3,Suburb,1995,495
241.27,6,4,City,2014,390
356.19,11,4,City,2016,572
429.58,14,5,Suburb,2002,630
264.77,1,2,City,2024,50
212.75,13,2,Suburb,1971,624
259.94,11,4,City,2021,726
283.26,7,3,Suburb,1983,322
203.64,8,4,City,1961,512
343,6,4,City,2006,360
239.97,10,2,Suburb,2015,320
257.53,13,1,City,1975,767
268.68,7,2,City,1993,350
252.51,13,5,Suburb,1977,403
280.01,8,1,Suburb,1988,344
184.13,10,4,Suburb,2013,460
188.04,8,4,City,2010,552
152.36,3,3,City,1973,171
253.72,3,1,Suburb,2017,120
276.11,1,1,Suburb,1994,33
254.93,8,3,City,1968,512
335.01,13,3,Suburb,1996,520
224.45,14,4,Suburb,1971,602
268.86,1,2,Suburb,1970,45
152.92,11,2,City,1986,594
199.28,12,3,City,2002,732
270.63,1,1,Suburb,2009,45
280.66,6,4,City,1979,318
205.41,10,4,City,1972,590
220.09,2,4,Suburb,2006,62
124.86,5,5,City,1967,275
201.32,11,3,Suburb,2023,473
283.45,3,4,City,2003,150
262.64,2,2,Suburb,1971,94
257.71,7,3,Suburb,1963,231
228.08,9,4,Suburb,1999,405
225.29,12,5,City,1978,828
181.35,14,4,Suburb,2013,588
270.81,14,5,City,1960,924
252.51,5,4,Suburb,1972,250
257.16,7,4,City,2009,399
190.17,10,1,Suburb,2012,450
82.96,11,4,Suburb,2001,396
297.01,7,2,City,1984,371
193.24,9,1,Suburb,2003,441
167.97,9,1,Suburb,2020,360
270.44,6,4,City,1980,306
199,11,4,City,2010,561
294.6,1,5,Suburb,2011,46
265.42,5,1,Suburb,2022,245
269.79,4,1,City,2013,260
134.8,13,3,Suburb,1969,585
304.63,3,5,Suburb,2018,138
242.01,14,2,City,1967,868
200.48,6,2,Suburb,2010,192
234.21,1,1,Suburb,1964,39
107.86,5,3,City,2001,250
251.67,3,5,Suburb,1971,96
157.01,13,4,Suburb,1983,390
135.73,14,4,Suburb,2004,602
124.58,14,1,Suburb,2012,616
298.03,4,4,Suburb,2012,156
183.39,10,3,City,1976,570
325.81,8,1,Suburb,2024,240
189.52,14,4,Suburb,2017,434
112.32,7,2,City,1996,385
151.25,11,3,Suburb,2001,462
306.21,2,1,Suburb,1999,76
214.51,7,4,Suburb,1982,308
188.69,2,5,City,1982,126
235.32,10,5,Suburb,2008,400
257.81,2,3,City,1966,100
298.4,1,1,City,1996,57
320.14,11,5,Suburb,1975,528
201.13,1,1,City,1997,55
137.5,8,4,City,1999,536
197.6,9,5,City,1988,513
241.92,3,2,City,1976,186
161.28,3,3,Suburb,1979,117
161.74,6,5,Suburb,1984,228
247.4,7,2,Suburb,2019,259
221.57,1,2,Suburb,1997,40
226.96,9,2,City,2022,513
174.84,11,5,Suburb,1998,484
209.59,11,4,Suburb,2023,429
163.97,1,3,City,1980,69
283.45,1,1,Suburb,1991,43
292.92,9,2,City,1987,495
103.22,5,2,Suburb,1971,190
163.6,8,1,Suburb,1982,376
126.26,1,4,Suburb,1974,47
182,14,1,City,1971,756
219.25,2,4,Suburb,1963,88
129.32,14,5,Suburb,1994,644
164.07,11,5,City,2020,638
158.68,13,3,Suburb,1986,598
238.48,10,3,Suburb,1992,500
229.38,2,5,City,1972,128
177.26,14,5,City,1996,910
236.44,2,4,Suburb,2003,64
188.78,2,4,City,1961,120
206.89,13,3,City,1997,793
335.01,3,4,City,1996,153
313.08,14,1,Suburb,2018,476
139.17,3,4,Suburb,1977,135
279.45,4,4,City,2007,200
278.24,9,4,City,2008,549
149.2,8,4,Suburb,2017,248
278.71,11,4,City,1994,660
326.09,11,5,City,2017,682
150.87,1,1,Suburb,1966,42
164.35,6,4,Suburb,1968,294
291.81,3,2,Suburb,1963,105
242.66,7,4,City,1991,490
261.06,14,4,City,1964,924
247.21,7,2,City,2015,441
250.56,10,5,Suburb,2015,370
137.4,5,5,City,2003,345
293.76,7,2,Suburb,1972,252
301.84,7,1,Suburb,1963,329
209.68,6,5,City,2011,390
221.95,3,3,Suburb,1974,111
123.93,6,5,City,1960,396
258.64,6,3,City,2024,318
262.45,6,1,Suburb,1970,186
220.74,5,4,City,2020,275
298.87,14,1,Suburb,2022,448
202.81,11,4,Suburb,1997,539
261.99,14,2,Suburb,2004,546
157.66,10,2,City,1963,570
223.25,11,5,City,2007,550
213.31,6,2,City,1968,366
239.6,9,2,Suburb,2006,306
200.48,6,1,Suburb,2019,252
216.09,3,2,City,2011,162
279.17,2,2,Suburb,1992,100
196.03,1,5,City,2017,51
119.01,13,5,City,2007,650
340.02,9,2,City,1964,459
315.78,8,1,City,1986,472
139.73,5,5,Suburb,2000,185
270.16,10,2,City,1960,540
191.66,9,4,Suburb,2010,387
242.11,3,2,Suburb,1975,114
244.15,4,1,City,1991,236
209.31,1,5,City,2006,50
173.17,12,4,Suburb,1982,516
179.3,4,4,City,1974,220
164.44,2,5,Suburb,1985,82
170.01,4,4,Suburb,1996,184
220.37,5,3,Suburb,2014,165
177.63,10,2,Suburb,1961,380
269.7,12,5,City,1978,660
322.75,8,2,City,1991,448
186.55,3,1,City,2014,186
240.53,6,5,Suburb,2015,282
257.71,5,1,City,1988,300
255.85,6,3,Suburb,1995,300
229.75,10,1,Suburb,2012,490
273.69,8,4,Suburb,1998,304
256.51,1,4,City,1970,54
143.26,4,4,City,1989,232
282.05,6,5,Suburb,2012,216
283.26,5,4,City,1967,300
174.56,13,2,Suburb,1979,507
227.24,11,2,City,1971,737
269.79,13,4,City,2009,676
210.98,1,4,City,1971,63
295.43,7,2,Suburb,2013,252
380.44,5,1,City,2013,285
173.08,8,2,City,1978,416
133.87,7,1,Suburb,1973,273
244.8,6,1,City,2011,348
272.3,10,2,Suburb,1981,340
209.59,2,5,City,1963,126
320.52,5,5,Suburb,2018,170
136.66,10,3,Suburb,1993,490
270.44,4,4,City,2023,252
184.88,11,1,Suburb,1977,528
337.98,4,3,Suburb,1990,124
356,8,1,City,2001,560
174.29,1,5,City,1962,68
188.59,5,3,City,2014,340
281.4,1,2,City,1969,60
199.28,1,4,Suburb,1981,40
221.76,7,4,Suburb,1982,266
226.5,14,4,City,1972,980
98.38,2,5,City,1999,110
223.9,5,2,City,1972,320
179.4,3,2,City,2010,153
192.31,8,1,Suburb,2023,360
319.87,14,5,Suburb,1972,448
142.05,8,1,Suburb,1988,392
278.34,9,1,Suburb,2006,369
206.43,11,1,Suburb,1985,429
206.34,7,1,City,1982,385
276.85,2,1,City,2015,134
247.21,4,3,Suburb,1978,180
262.36,13,5,Suburb,2009,429
288.56,12,5,City,1994,600
202.99,10,3,Suburb,2008,460
184.51,8,4,Suburb,2005,288
153.29,10,1,Suburb,2012,320
170.48,11,2,Suburb,1990,484
418.99,5,3,City,1981,315
306.77,2,4,Suburb,1967,66
135.82,1,4,Suburb,1978,46
137.68,11,3,Suburb,1990,429
256.51,11,3,Suburb,1991,462
260.78,12,1,Suburb,2014,456
260.96,7,5,City,1990,490
208.01,12,2,City,2010,792
216.56,14,5,City,1986,854
246.38,13,2,Suburb,2007,403
230.4,8,2,Suburb,2002,344
78.69,2,4,City,2010,132
209.68,9,5,City,2009,630
168.71,3,1,Suburb,2020,108
236.35,1,3,Suburb,2000,33
421.41,6,2,City,2010,396
248.98,11,5,Suburb,1983,506
204.11,2,5,Suburb,1989,96
285.49,3,4,City,2011,162
256.6,9,5,Suburb,2009,351
252.42,9,2,Suburb,2016,324
264.77,5,3,Suburb,2021,250
360.18,11,4,City,2012,682
150.32,13,1,Suburb,1990,507
255.95,4,2,Suburb,1989,124
163.79,11,1,City,1969,693
261.34,9,4,Suburb,2003,396
164.25,14,2,Suburb,1965,434
197.33,11,2,Suburb,1986,539
205.32,4,1,City,1979,252
289.02,2,4,City,1979,120
285.31,8,4,Suburb,1971,336
142.79,12,4,City,2008,720
228.45,2,2,City,2011,110
178.1,2,5,City,1969,120
141.96,9,4,City,1964,567
210.52,8,4,City,2023,400
204.48,14,2,City,2017,924
384.62,1,1,City,1967,63
253.25,7,4,City,1989,476
134.06,1,1,City,1976,69
187.57,10,3,Suburb,1980,450
292.09,13,3,City,1975,741
362.32,9,3,City,1986,513
120.31,12,5,Suburb,1965,384
100.99,8,4,Suburb,2001,400
348.01,5,2,Suburb,1975,175
250.47,3,5,Suburb,2004,96
167.6,11,5,City,1962,616
260.04,4,4,City,1999,268
51.19,9,1,City,1979,594
225.01,5,5,Suburb,1966,235
246.38,14,5,City,2018,868
285.68,9,2,City,1970,522
158.03,7,4,Suburb,2011,238
230.4,6,4,Suburb,1962,294
163.88,7,3,Suburb,1980,336
241.64,10,2,Suburb,2012,380
165.83,1,3,Suburb,1989,45
197.88,9,5,City,1970,486
159.24,8,1,Suburb,1984,368
267.65,7,4,Suburb,2009,252
281.31,9,5,City,1968,594
209.31,14,4,City,2004,714
227.33,12,5,City,1988,804
129.41,3,2,Suburb,2021,150
205.04,2,2,Suburb,1974,98
221.48,11,2,City,1978,561
397.35,7,4,City,1974,385
151.52,12,4,Suburb,1998,444
321.17,10,4,City,1994,540
290.41,9,2,City,1972,513
243.31,12,5,City,1975,816
340.58,2,5,City,2014,114
249.26,5,3,Suburb,2024,225
250.37,9,4,Suburb,1994,450
221.29,4,2,Suburb,1975,136
305.37,1,5,City,1960,60
297.01,10,4,Suburb,2009,490
183.58,14,1,Suburb,1973,504
137.96,12,4,City,2021,780
211.45,13,2,City,1966,884
172.15,6,3,Suburb,1982,282
220.64,12,5,City,2022,648
306.3,14,3,City,1988,700
194.63,3,4,Suburb,1981,108
221.95,7,5,Suburb,1965,294
228.63,10,3,Suburb,1988,490
280.66,2,3,City,1961,120
76.83,14,1,City,2023,924
184.88,13,2,City,1995,702
238.67,9,1,City,1979,612
303.79,9,4,City,2014,531
192.4,10,4,City,1996,580
101.26,10,3,Suburb,2011,430
265.61,2,2,Suburb,1981,88
182.93,4,2,City,1974,212
146.42,13,5,Suburb,2006,585
183.67,5,1,Suburb,2011,240
212.65,2,4,Suburb,1998,84
184.97,11,5,City,1961,649
79.52,5,5,Suburb,2004,155
283.82,4,3,Suburb,1983,128
308.72,4,3,City,2020,204
267.65,5,3,City,2024,345
149.85,4,1,City,2012,272
211.54,1,1,Suburb,1980,36
224.36,2,2,Suburb,1960,92
264.22,6,4,Suburb,2018,276
268.77,3,1,City,2006,195
176.42,7,3,City,1977,476
230.21,12,4,City,1992,696
254.93,8,4,Suburb,1974,352
320.61,2,5,Suburb,1983,62
271.18,8,3,Suburb,1995,384
276.76,11,1,City,2019,759
230.31,8,5,City,1993,416
317.64,7,2,Suburb,2010,294
251.77,7,4,Suburb,1999,308
168.06,14,4,Suburb,1981,686
317.17,6,4,City,1975,354
270.72,11,1,Suburb,2001,407
195.65,5,3,City,1975,290
193.24,14,2,Suburb,1964,644
244.33,8,2,Suburb,1965,368
255.3,3,4,Suburb,2001,111
237.74,14,1,Suburb,1989,532
245.26,8,5,Suburb,1991,296
336.77,3,5,Suburb,2012,144
295.34,3,5,Suburb,1978,99
237.37,12,4,Suburb,2010,576
286.79,2,4,Suburb,1987,82
156.82,6,4,Suburb,2006,198
251.02,5,2,City,1960,325
343.93,4,5,City,2016,232
210.43,3,3,Suburb,1981,129
168.99,9,3,Suburb,2017,369
181.81,13,3,City,1972,663
153.01,6,2,City,1998,408
173.08,9,4,City,1986,576
200.39,14,3,Suburb,1998,490
132.2,12,2,Suburb,1971,564
225.85,2,5,Suburb,1983,60
284.19,3,5,Suburb,1977,129
165,2,3,City,1974,132
324.79,14,1,City,2019,756
258.46,3,5,City,1975,150
292.64,7,2,City,2006,441
181.44,13,1,Suburb,1983,624
281.03,2,3,City,2004,104
152.92,6,4,City,1978,300
283.45,11,1,Suburb,2000,341
236.07,7,5,Suburb,1990,224
261.24,12,1,Suburb,1975,588
147.34,8,3,City,1982,416
165.83,11,4,City,1982,704
264.12,11,1,Suburb,2000,495
162.3,9,5,Suburb,1977,315
255.3,10,3,Suburb,1995,410
134.8,13,2,Suburb,1971,546
280.66,14,2,City,2010,854
143.63,14,4,Suburb,1991,700
261.15,6,3,City,1995,396
265.98,5,4,Suburb,1999,225
178.93,14,5,Suburb,1997,588
263.1,14,5,City,2013,924
241.92,6,1,Suburb,1963,252
189.34,1,3,Suburb,2005,35
158.4,2,4,Suburb,2022,78
95.6,9,2,City,2009,585
247.77,3,3,City,1989,204
121.7,8,3,Suburb,1975,360
231.05,14,1,Suburb,2011,448
207.45,13,4,City,1963,897
269.51,5,2,City,1985,315
204.94,13,1,City,1988,793
203.09,2,1,Suburb,1970,74
272.95,13,4,Suburb,1983,429
246.84,1,1,Suburb,2010,46
245.64,1,2,Suburb,2001,45
255.67,10,4,City,1998,550
123.65,9,3,City,1966,621
274.62,5,2,City,1977,290
265.15,9,4,Suburb,1962,279
157.84,4,3,City,2022,248
208.75,3,5,Suburb,1979,117
222.22,4,3,City,1976,248
215.91,14,5,Suburb,2018,518
246.75,14,5,Suburb,2013,504
319.03,5,5,City,1972,250
295.99,13,5,City,2001,741
138.43,13,2,City,2003,832
265.8,3,3,City,1979,153
312.34,14,3,City,2006,784
250.28,2,2,City,1983,112
296.64,8,5,Suburb,2010,312
357.3,8,3,City,1977,424
292.18,1,1,Suburb,1982,45
241.18,2,2,Suburb,1960,66
293.57,10,1,Suburb,1964,410
234.3,10,5,City,1977,540
226.4,13,4,City,1994,845
201.69,12,4,City,1984,600
327.76,14,3,City,1983,798
170.94,6,3,City,1972,324
325.72,2,2,City,1980,128
257.71,2,1,Suburb,1998,64
132.67,9,2,Suburb,1993,306
248.98,8,1,Suburb,1978,360
86.49,3,4,Suburb,1987,129
265.98,10,3,Suburb,1970,430
283.08,9,4,City,2008,513
185.81,11,2,City,1994,605
232.91,8,2,Suburb,2016,360
353.5,2,1,Suburb,1987,84
191.47,11,5,Suburb,2024,473
155.06,4,5,City,1981,200
322.37,5,5,City,2010,295
354.05,14,1,City,1968,756
225.01,3,1,City,1995,162
291.44,4,2,City,2013,220
